Date,Open,High,Low,Close,Adj Close,Volume
07/06/2004,808,812,802,803.5,292.276001,36926228
08/06/2004,804.5,810.5,794.5,806.5,293.367157,10061894
09/06/2004,811,813,805,807,293.549133,3902359
10/06/2004,801.5,806,796,802,291.730286,9393473
11/06/2004,804,804.5,795,797,289.911591,5243904
14/06/2004,799,814,789,807,293.549133,13340515
15/06/2004,808,813,803.5,811.5,295.185913,5323590
16/06/2004,813.5,818.5,808,811,295.004059,3539142
17/06/2004,807,815,806.530029,809.5,294.458527,2690169
18/06/2004,809,827,804.5,824,299.732941,7301300
21/06/2004,826,833,810.5,831,302.279144,0
22/06/2004,830,839,821.5,823.5,299.551025,9820262
23/06/2004,873,884,840.700012,883,321.194336,35957552
24/06/2004,883,883,866.5,870,316.465546,13614484
25/06/2004,868.5,870,858,860,312.828003,8565823
28/06/2004,857.5,879.650024,855,873,317.556824,0
29/06/2004,882,882,862.5,867.5,315.556274,5385426
30/06/2004,866,866,849.5,854.5,310.827362,10746757
01/07/2004,855.5,861.273987,847,850,309.190399,6488615
02/07/2004,851.5,855,845,853,310.281769,4344325
05/07/2004,853.5,863.5,847.5,854,310.645538,3320302
06/07/2004,859.5,859.5,844.5,849,308.826813,3704600
07/07/2004,848,854.5,838,842,306.280548,4193921
08/07/2004,835,848.5,834,846,307.735504,8841594
09/07/2004,846,854,842.5,853,310.281769,13283487
12/07/2004,853,856.5,845.5,850.5,309.372375,4138428
13/07/2004,852,852.25,843.5,847,308.099243,4146685
14/07/2004,847,849,840.5,848,308.463013,4637584
15/07/2004,842.5,847.5,835,841,305.916748,12567491
16/07/2004,843,870,840,868,315.737946,15660271
19/07/2004,865,867.700012,858.5,859,312.464264,3286042
20/07/2004,861,861.5,849.833008,849.833008,309.129791,2881530
21/07/2004,864,864,852.5,855,311.009247,6901058
22/07/2004,848,858.799988,842.5,845,307.371765,5002094
23/07/2004,846,850,841.5,845.5,307.553589,15167549
26/07/2004,847.5,847.5,839,843,306.644196,7978367
27/07/2004,824,853.640015,816,829.5,301.733551,27283017
28/07/2004,832,835.5,818,823,299.369141,13454615
29/07/2004,826,832,817,829.5,301.733551,8298321
30/07/2004,829.5,838.5,822,836,304.097992,6652238
02/08/2004,838,843.200012,832,841,305.916748,9142342
03/08/2004,844.5,849.26001,838.400024,844,307.007996,6676503
04/08/2004,830,844,819.799988,836,308.743774,5808760
05/08/2004,837,844,829.5,839.5,310.036285,4809864
